act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.3,0,False,0.5,0.5,"[0.0427, 0.0014]","[0.2405, 0]",140.0
tanh,150,False,0.2,20,2,2,100,BK,1,1,0.001,0.0,800,800,True,5000,50,0.3,0,False,0.001,0.5,"[0.1012, 0.0023]","[0.235, 0]",290.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,0.1,0.5,"[0.0381, 0.0014]","[0.2327, 0]",130.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,1.0,0.5,"[0.0463, 0.0016]","[0.2494, 0]",160.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,0.001,0.5,"[0.0384, 0.0013]","[0.2283, 0]",120.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,10.0,0.5,"[0.053, 0.0018]","[0.2432, 0]",250.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,0.5,0.5,"[0.0812, 0.0021]","[0.3844, 0]",1900.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.3,0,False,0.01,0.5,"[0.04, 0.0014]","[0.2252, 0]",120.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,0.001,1e-05,800,800,True,5000,50,0.3,0,False,0.1,0.5,"[0.0866, 0.0022]","[0.2354, 0]",280.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,0.001,1e-05,800,800,True,5000,50,0.3,0,False,1.0,0.5,"[0.0736, 0.002]","[0.3228, 0]",50.0
