act,hidden_dim,sparse_normalization,dropout_ratio,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.1923, 0.0017]","[0.364, 0]",160.0
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.1479, 0.0018]","[0.5146, 0]",230.0
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.1729, 0.0018]","[0.4333, 0]",150.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.1599, 0.0018]","[0.4825, 0]",180.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.1414, 0.0017]","[0.6308, 0]",90.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.1854, 0.0017]","[0.382, 0]",170.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.1911, 0.0017]","[0.3476, 0]",240.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.1543, 0.0018]","[0.5206, 0]",150.0
tanh,150,False,0.4,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.5,"[0.1786, 0.0018]","[0.4379, 0]",130.0
tanh,100,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.0763, 0.0014]","[0.6445, 0]",170.0
tanh,150,False,0.4,0.001,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.1614, 0.0015]","[0.6647, 0]",70.0
tanh,150,False,0.4,0.001,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.1986, 0.0017]","[0.3973, 0]",70.0
tanh,150,False,0.4,0.001,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.2017, 0.0016]","[0.3523, 0]",60.0
tanh,150,False,0.4,0.001,1e-05,800,800,True,5000,100,0.5,0,0.2,"[0.1691, 0.0018]","[0.5142, 0]",130.0
tanh,150,False,0.4,0.001,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.2, 0.0016]","[0.4266, 0]",140.0
tanh,100,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.0846, 0.0014]","[0.6346, 0]",160.0
tanh,150,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.1553, 0.0017]","[0.5739, 0]",120.0
tanh,150,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.2021, 0.0017]","[0.3959, 0]",110.0
tanh,150,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.205, 0.0017]","[0.3502, 0]",180.0
tanh,150,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.1843, 0.0017]","[0.5204, 0]",140.0
tanh,150,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.183, 0.0017]","[0.4193, 0]",150.0
tanh,150,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.1791, 0.0017]","[0.479, 0]",90.0
tanh,150,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.1653, 0.0017]","[0.6196, 0]",110.0
tanh,150,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.1992, 0.0017]","[0.3696, 0]",70.0
tanh,150,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.2041, 0.0016]","[0.372, 0]",110.0
tanh,150,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.1606, 0.0016]","[0.4994, 0]",70.0
