act,hidden_dim,sparse_normalization,dropout_ratio,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,weighted_recon,NDCG,RMSE,best_epoch
relu,50,False,0.2,0.001,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1637, 0.0017]","[0.6647, 0]",60.0
relu,50,False,0.2,0.001,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1656, 0.0017]","[0.5864, 0]",50.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1585, 0.0015]","[0.4652, 0]",100.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.157, 0.0015]","[0.4047, 0]",280.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1599, 0.0015]","[0.3785, 0]",100.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.0334, 0.0006]","[0.8995, 0]",90.0
relu,200,False,0.0,1e-05,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.1769, 0.0018]","[0.4759, 0]",730.0
relu,50,False,0.2,0.01,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1164, 0.0012]","[0.6523, 0]",60.0
relu,200,False,0.0,1e-05,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.1835, 0.0018]","[0.4373, 0]",530.0
relu,50,False,0.2,0.01,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.01,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.159, 0.0016]","[0.404, 0]",70.0
relu,50,False,0.2,0.01,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1593, 0.0015]","[0.3819, 0]",150.0
relu,50,False,0.2,0.01,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,200,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.2068, 0.0017]","[0.305, 0]",1060.0
relu,50,False,0.2,0.01,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1587, 0.0016]","[1.1692, 0]",60.0
relu,50,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.1621, 0.0015]","[1.1602, 0]",50.0
relu,50,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1638, 0.0016]","[1.1195, 0]",50.0
relu,50,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1489, 0.0017]","[1.1234, 0]",70.0
relu,50,False,0.8,0.0001,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1453, 0.0018]","[1.0927, 0]",110.0
relu,200,False,0.8,0.01,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.1454, 0.0014]","[0.5424, 0]",130.0
relu,50,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.1587, 0.0015]","[1.1286, 0]",60.0
relu,50,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1639, 0.0016]","[1.2131, 0]",50.0
